"sex_age"	"estimate"	"iter"	"population"
"Female_Adult"	0.7522554	110	"SP"
"Female_Juvenile"	0.0835272	110	"SP"
"Male_Adult"	0.7234385	110	"SP"
"Male_Juvenile"	0.1169494	110	"SP"
"Female_Adult"	0.6706005	111	"SP"
"Female_Juvenile"	0.1205441	111	"SP"
"Male_Adult"	0.6671639	111	"SP"
"Male_Juvenile"	0.1355522	111	"SP"
"Female_Adult"	0.7184891	112	"SP"
"Female_Juvenile"	0.0720541	112	"SP"
"Male_Adult"	0.692383	112	"SP"
"Male_Juvenile"	0.154693	112	"SP"
"Female_Adult"	0.6943782	113	"SP"
"Female_Juvenile"	0.0922196	113	"SP"
"Male_Adult"	0.6764876	113	"SP"
"Male_Juvenile"	0.1193635	113	"SP"
"Female_Adult"	0.71328	114	"SP"
"Female_Juvenile"	0.0823773	114	"SP"
"Male_Adult"	0.7211834	114	"SP"
"Male_Juvenile"	0.1188288	114	"SP"
"Female_Adult"	0.6789945	115	"SP"
"Female_Juvenile"	0.088622	115	"SP"
"Male_Adult"	0.7089895	115	"SP"
"Male_Juvenile"	0.1608611	115	"SP"
"Female_Adult"	0.6592878	116	"SP"
"Female_Juvenile"	0.1366753	116	"SP"
"Male_Adult"	0.655203	116	"SP"
"Male_Juvenile"	0.1427345	116	"SP"
"Female_Adult"	0.6553835	117	"SP"
"Female_Juvenile"	0.1089572	117	"SP"
"Male_Adult"	0.6492436	117	"SP"
"Male_Juvenile"	0.1451831	117	"SP"
"Female_Adult"	0.6634265	118	"SP"
"Female_Juvenile"	0.0996116	118	"SP"
"Male_Adult"	0.6826063	118	"SP"
"Male_Juvenile"	0.1514423	118	"SP"
"Female_Adult"	0.6528219	119	"SP"
"Female_Juvenile"	0.0674735	119	"SP"
"Male_Adult"	0.665751	119	"SP"
"Male_Juvenile"	0.1588789	119	"SP"
"Female_Adult"	0.662674	120	"SP"
"Female_Juvenile"	0.105546	120	"SP"
"Male_Adult"	0.6810227	120	"SP"
"Male_Juvenile"	0.1502996	120	"SP"
"Female_Adult"	0.718646	121	"SP"
"Female_Juvenile"	0.0842691	121	"SP"
"Male_Adult"	0.6658196	121	"SP"
"Male_Juvenile"	0.144131	121	"SP"
"Female_Adult"	0.6917957	122	"SP"
"Female_Juvenile"	0.0848772	122	"SP"
"Male_Adult"	0.7219899	122	"SP"
"Male_Juvenile"	0.1571616	122	"SP"
"Female_Adult"	0.7233363	123	"SP"
"Female_Juvenile"	0.0807131	123	"SP"
"Male_Adult"	0.7124739	123	"SP"
"Male_Juvenile"	0.1506482	123	"SP"
"Female_Adult"	0.6944025	124	"SP"
"Female_Juvenile"	0.0674043	124	"SP"
"Male_Adult"	0.6669401	124	"SP"
"Male_Juvenile"	0.1810028	124	"SP"
"Female_Adult"	0.669742	125	"SP"
"Female_Juvenile"	0.1115343	125	"SP"
"Male_Adult"	0.689635	125	"SP"
"Male_Juvenile"	0.1402373	125	"SP"
"Female_Adult"	0.6535632	126	"SP"
"Female_Juvenile"	0.0968709	126	"SP"
"Male_Adult"	0.6998961	126	"SP"
"Male_Juvenile"	0.127763	126	"SP"
"Female_Adult"	0.6462965	127	"SP"
"Female_Juvenile"	0.1098597	127	"SP"
"Male_Adult"	0.7289152	127	"SP"
"Male_Juvenile"	0.1328112	127	"SP"
"Female_Adult"	0.6895009	128	"SP"
"Female_Juvenile"	0.086307	128	"SP"
"Male_Adult"	0.7287462	128	"SP"
"Male_Juvenile"	0.1244767	128	"SP"
"Female_Adult"	0.6741223	129	"SP"
"Female_Juvenile"	0.0915336	129	"SP"
"Male_Adult"	0.7153103	129	"SP"
"Male_Juvenile"	0.1503022	129	"SP"
"Female_Adult"	0.6591966	130	"SP"
"Female_Juvenile"	0.0810538	130	"SP"
"Male_Adult"	0.7122586	130	"SP"
"Male_Juvenile"	0.1320598	130	"SP"
"Female_Adult"	0.6453916	131	"SP"
"Female_Juvenile"	0.0950022	131	"SP"
"Male_Adult"	0.7100124	131	"SP"
"Male_Juvenile"	0.1580553	131	"SP"
"Female_Adult"	0.6835146	132	"SP"
"Female_Juvenile"	0.0701896	132	"SP"
"Male_Adult"	0.6652353	132	"SP"
"Male_Juvenile"	0.1313868	132	"SP"
"Female_Adult"	0.6507875	133	"SP"
"Female_Juvenile"	0.089962	133	"SP"
"Male_Adult"	0.6956848	133	"SP"
"Male_Juvenile"	0.1558108	133	"SP"
"Female_Adult"	0.6192006	134	"SP"
"Female_Juvenile"	0.1021246	134	"SP"
"Male_Adult"	0.7313308	134	"SP"
"Male_Juvenile"	0.1129709	134	"SP"
"Female_Adult"	0.6949685	135	"SP"
"Female_Juvenile"	0.1056491	135	"SP"
"Male_Adult"	0.7211973	135	"SP"
"Male_Juvenile"	0.1429787	135	"SP"
"Female_Adult"	0.6622631	136	"SP"
"Female_Juvenile"	0.0975312	136	"SP"
"Male_Adult"	0.6978692	136	"SP"
"Male_Juvenile"	0.1053365	136	"SP"
"Female_Adult"	0.6852293	137	"SP"
"Female_Juvenile"	0.0669471	137	"SP"
"Male_Adult"	0.7038635	137	"SP"
"Male_Juvenile"	0.1672081	137	"SP"
"Female_Adult"	0.6861144	138	"SP"
"Female_Juvenile"	0.0968906	138	"SP"
"Male_Adult"	0.7113276	138	"SP"
"Male_Juvenile"	0.0901511	138	"SP"
"Female_Adult"	0.7027453	139	"SP"
"Female_Juvenile"	0.0852444	139	"SP"
"Male_Adult"	0.7252771	139	"SP"
"Male_Juvenile"	0.144929	139	"SP"
"Female_Adult"	0.6412034	140	"SP"
"Female_Juvenile"	0.0910748	140	"SP"
"Male_Adult"	0.7066534	140	"SP"
"Male_Juvenile"	0.1187465	140	"SP"
"Female_Adult"	0.6316538	141	"SP"
"Female_Juvenile"	0.1013972	141	"SP"
"Male_Adult"	0.6960762	141	"SP"
"Male_Juvenile"	0.1413343	141	"SP"
"Female_Adult"	0.6893911	142	"SP"
"Female_Juvenile"	0.0914274	142	"SP"
"Male_Adult"	0.7249148	142	"SP"
"Male_Juvenile"	0.1578735	142	"SP"
"Female_Adult"	0.6504001	143	"SP"
"Female_Juvenile"	0.0790964	143	"SP"
"Male_Adult"	0.6952552	143	"SP"
"Male_Juvenile"	0.1504986	143	"SP"
"Female_Adult"	0.7217444	144	"SP"
"Female_Juvenile"	0.0750073	144	"SP"
"Male_Adult"	0.7190249	144	"SP"
"Male_Juvenile"	0.118865	144	"SP"
"Female_Adult"	0.7071149	145	"SP"
"Female_Juvenile"	0.0802426	145	"SP"
"Male_Adult"	0.6272353	145	"SP"
"Male_Juvenile"	0.1874789	145	"SP"
"Female_Adult"	0.6169627	146	"SP"
"Female_Juvenile"	0.0969587	146	"SP"
"Male_Adult"	0.6808654	146	"SP"
"Male_Juvenile"	0.170598	146	"SP"
"Female_Adult"	0.6774958	147	"SP"
"Female_Juvenile"	0.0912396	147	"SP"
"Male_Adult"	0.6911375	147	"SP"
"Male_Juvenile"	0.1599084	147	"SP"
"Female_Adult"	0.6273992	148	"SP"
"Female_Juvenile"	0.0881863	148	"SP"
"Male_Adult"	0.715487	148	"SP"
"Male_Juvenile"	0.1969486	148	"SP"
"Female_Adult"	0.637902	149	"SP"
"Female_Juvenile"	0.0417801	149	"SP"
"Male_Adult"	0.6930098	149	"SP"
"Male_Juvenile"	0.1572921	149	"SP"
"Female_Adult"	0.6919644	150	"SP"
"Female_Juvenile"	0.096573	150	"SP"
"Male_Adult"	0.6961279	150	"SP"
"Male_Juvenile"	0.1182472	150	"SP"
"Female_Adult"	0.5801657	151	"SP"
"Female_Juvenile"	0.1103534	151	"SP"
"Male_Adult"	0.6762773	151	"SP"
"Male_Juvenile"	0.1329456	151	"SP"
"Female_Adult"	0.6810382	152	"SP"
"Female_Juvenile"	0.0914474	152	"SP"
