"bird_ID" "ch" "sex" "age" "population"
"bird_45" "1000000" "F" "A" "SP"
"bird_46" "1111000" "M" "A" "SP"
"bird_47" "1110000" "F" "A" "SP"
"bird_48" "1100000" "F" "A" "SP"
"bird_51" "1001000" "F" "A" "SP"
"bird_52" "1010000" "F" "A" "SP"
"bird_53" "1110000" "F" "A" "SP"
"bird_54" "1101000" "F" "A" "SP"
"bird_58" "1000000" "F" "A" "SP"
"bird_59" "1111100" "M" "A" "SP"
"bird_60" "1100000" "M" "A" "SP"
"bird_62" "1111110" "M" "A" "SP"
"bird_63" "1111000" "M" "A" "SP"
"bird_64" "1000000" "M" "A" "SP"
"bird_67" "1111010" "F" "A" "SP"
"bird_68" "1100000" "F" "A" "SP"
"bird_69" "1000000" "F" "A" "SP"
"bird_72" "1000000" "F" "A" "SP"
"bird_73" "1000000" "M" "A" "SP"
"bird_75" "1000000" "M" "A" "SP"
"bird_76" "1110000" "M" "A" "SP"
"bird_77" "1111100" "F" "A" "SP"
"bird_80" "1000000" "F" "A" "SP"
"bird_81" "1111111" "M" "A" "SP"
"bird_82" "1000000" "M" "A" "SP"
"bird_83" "1001000" "M" "A" "SP"
"bird_84" "1110000" "M" "A" "SP"
"bird_85" "1111100" "M" "A" "SP"
"bird_87" "1110110" "M" "A" "SP"
"bird_90" "1110000" "M" "A" "SP"
"bird_91" "1000000" "M" "A" "SP"
"bird_93" "1100000" "F" "A" "SP"
"bird_94" "1111100" "F" "A" "SP"
"bird_95" "1001000" "M" "A" "SP"
"bird_96" "1000000" "F" "A" "SP"
"bird_97" "1000000" "M" "A" "SP"
"bird_98" "1000000" "M" "A" "SP"
"bird_99" "1100000" "M" "A" "SP"
"bird_100" "1100000" "M" "A" "SP"
"bird_109" "1111110" "M" "A" "SP"
"bird_110" "1000000" "M" "A" "SP"
"bird_111" "1000000" "M" "A" "SP"
"bird_112" "1111111" "F" "A" "SP"
"bird_121" "1000000" "M" "A" "SP"
"bird_122" "1010000" "M" "A" "SP"
"bird_123" "1111000" "M" "A" "SP"
"bird_127" "1100000" "M" "A" "SP"
"bird_128" "1100000" "F" "A" "SP"
"bird_130" "1100000" "F" "A" "SP"
"bird_131" "1100010" "F" "A" "SP"
"bird_132" "1011100" "F" "A" "SP"
"bird_133" "1010000" "M" "A" "SP"
"bird_136" "1011110" "M" "A" "SP"
"bird_137" "1111100" "M" "A" "SP"
"bird_138" "1100000" "M" "A" "SP"
"bird_139" "1111110" "M" "A" "SP"
"bird_141" "1111100" "F" "A" "SP"
"bird_142" "1100000" "F" "A" "SP"
"bird_143" "1000000" "M" "A" "SP"
"bird_144" "1100000" "M" "A" "SP"
"bird_145" "1000000" "F" "A" "SP"
"bird_148" "0111110" "M" "A" "SP"
"bird_154" "0100000" "M" "A" "SP"
"bird_156" "0100000" "M" "A" "SP"
"bird_158" "0100000" "F" "A" "SP"
"bird_164" "0111000" "F" "A" "SP"
"bird_167" "1000000" "F" "A" "SP"
"bird_170" "0111000" "M" "A" "SP"
"bird_171" "0111010" "M" "A" "SP"
"bird_172" "0100000" "M" "A" "SP"
"bird_173" "0100000" "M" "A" "SP"
"bird_176" "0100000" "M" "A" "SP"
"bird_177" "1111000" "M" "A" "SP"
"bird_178" "0111110" "M" "A" "SP"
"bird_182" "0111110" "M" "A" "SP"
"bird_199" "1111110" "F" "A" "SP"
"bird_201" "0100000" "F" "A" "SP"
"bird_202" "0100000" "F" "A" "SP"
"bird_203" "0111100" "F" "A" "SP"
"bird_204" "0111110" "F" "A" "SP"
"bird_205" "0100000" "F" "A" "SP"
"bird_206" "0100000" "F" "A" "SP"
"bird_207" "0100000" "F" "A" "SP"
"bird_208" "0110100" "M" "A" "SP"
"bird_209" "1100000" "F" "A" "SP"
"bird_210" "0111100" "M" "A" "SP"
"bird_212" "0100000" "F" "A" "SP"
"bird_213" "0111100" "F" "A" "SP"
"bird_214" "0111000" "F" "A" "SP"
"bird_215" "0110000" "F" "A" "SP"
"bird_216" "0100000" "F" "A" "SP"
"bird_217" "0100000" "F" "A" "SP"
"bird_218" "0111111" "F" "A" "SP"
"bird_221" "0111100" "M" "A" "SP"
"bird_222" "0100000" "F" "A" "SP"
"bird_223" "0111111" "M" "A" "SP"
"bird_224" "0101000" "F" "A" "SP"
"bird_229" "0100000" "F" "A" "SP"
"bird_231" "0101100" "F" "A" "SP"
"bird_232" "0100000" "F" "A" "SP"
"bird_249" "0101100" "F" "A" "SP"
"bird_250" "0100000" "F" "A" "SP"
"bird_251" "0110000" "F" "A" "SP"
"bird_253" "0111000" "M" "A" "SP"
"bird_254" "0111000" "M" "A" "SP"
"bird_255" "0100000" "F" "A" "SP"
"bird_262" "0111110" "M" "A" "SP"
"bird_264" "0111111" "M" "A" "SP"
