"population" "no_chicks" "clutch_size" "year" "male" "female" "family_ID"
"KIP" NA NA 2013 "bird_4595" "bird_4165" "family_109"
"KIP" 2 "2" 2013 "bird_4555" "bird_4505" "family_108"
"KIP" 0 "2" 2013 "bird_4369" "bird_4368" "family_107"
"KIP" 2 "2" 2013 "bird_4764" "bird_4759" "family_181"
"KIP" NA "2" 2013 "bird_4064" "bird_4057" "family_175"
"KIP" 0 "2" 2013 "bird_4287" "bird_4108" "family_171"
"KIP" 1 "1" 2013 "bird_4458" "bird_4365" "family_160"
"KIP" 2 "2" 2013 "bird_4516" "bird_4366" "family_144"
"KIP" 2 "2" 2013 "bird_4574" "bird_4351" "family_138"
"KIP" NA "2" 2013 "bird_4411" "bird_4159" "family_137"
"KIP" 1 "2" 2013 "bird_4180" "bird_4349" "family_136"
"KIP" 0 "2" 2013 "bird_4354" "bird_4172" "family_135"
"KIP" 1 "2" 2013 "bird_4684" "bird_4149" "family_128"
"KIP" 2 "2" 2013 "bird_4465" "bird_4067" "family_125"
"KIP" NA "2" 2013 "bird_4049" "bird_4484" "family_123"
"KIP" 1 "1" 2013 "bird_4498" "bird_4187" "family_116"
"KIP" NA "2" 2013 "bird_4049" "bird_4058" "family_114"
"KIP" 0 "2" 2013 "bird_4174" "bird_4107" "family_106"
"KIP" 2 "2" 2013 "bird_4285" "bird_4289" "family_179"
"KIP" 1 "2" 2013 "bird_4169" "bird_4182" "family_174"
"KIP" 2 "2" 2013 "bird_4061" "bird_4286" "family_173"
"KIP" 2 "2" 2013 "bird_4404" "bird_4136" "family_170"
"KIP" 2 "2" 2013 "bird_4290" "bird_4186" "family_165"
"KIP" 2 "2" 2013 "bird_4452" "bird_4178" "family_105"
"WFP" NA "2" 2012 "bird_4482" "bird_4483" "family_2752"
"WFP" 0 "3" 2012 "bird_4662" "bird_4640" "family_2751"
"WFP" NA "2" 2012 "bird_4714" "bird_4722" "family_2750"
"WFP" NA "2" 2012 "bird_4649" "bird_4644" "family_2749"
"WFP" 1 "2" 2012 "bird_4075" "bird_4074" "family_2760"
"WFP" NA "2" 2012 "bird_4085" "bird_4084" "family_2759"
"WFP" 0 "2" 2012 "bird_4479" "bird_4476" "family_2758"
"WFP" NA "2" 2012 "bird_4466" "bird_4686" "family_2757"
"WFP" 0 "2" 2012 "bird_4454" "bird_4048" "family_2756"
"WFP" 1 "2" 2012 "bird_4668" "bird_4676" "family_2755"
"WFP" NA "3" 2012 "bird_4726" "bird_4143" "family_2754"
"WFP" 1 "3" 2012 "bird_4715" "bird_4723" "family_2753"
"KIP" NA "2" 2012 "bird_4072" "bird_4477" "family_26"
"KIP" NA "2" 2012 "bird_4474" "bird_4470" "family_25"
"KIP" 0 "2" 2012 "bird_4146" "bird_4077" "family_33"
"KIP" 0 "2" 2012 "bird_4475" "bird_4467" "family_32"
"KIP" NA "2" 2012 "bird_4626" "bird_4617" "family_30"
"KIP" NA "2" 2012 "bird_4632" "bird_4629" "family_29"
"KIP" NA "2" 2012 "bird_4663" "bird_4639" "family_28"
"KIP" NA "2" 2012 "bird_4659" "bird_4656" "family_27"
"WFP" NA "2" 2010 "bird_4205" "bird_4206" "family_2748"
"MP" NA "2" 2010 "bird_4201" "bird_4029" "family_2059"
"KIP" NA "2" 2010 "bird_4207" "bird_4209" "family_20"
"KIP" NA "2" 2010 "bird_4232" "bird_4230" "family_17"
"KIP" 0 "2" 2010 "bird_4275" "bird_4216" "family_16"
"KIP" 0 "2" 2010 "bird_4242" "bird_4243" "family_15"
"KIP" 0 "2" 2010 "bird_4253" "bird_4252" "family_13"
"KIP" 0 "2" 2010 "bird_4316" "bird_4299" "family_11"
"KIP" NA "2" 2010 "bird_4269" "bird_4298" "family_10"
"KIP" 0 "2" 2010 "bird_4194" "bird_4195" "family_22"
"KIP" 0 "2" 2010 "bird_4319" "bird_4148" "family_21"
"KIP" 0 "2" 2010 "bird_4199" "bird_4200" "family_19"
"KIP" 0 "2" 2010 "bird_4212" "bird_4211" "family_18"
"KIP" 0 "1" 2010 "bird_4214" "bird_4215" "family_14"
"KIP" 0 "2" 2010 "bird_4221" "bird_4220" "family_12"
"KIP" NA "2" 2010 "bird_4222" "bird_4223" "family_9"
"KIP" NA "2" 2010 "bird_4219" "bird_4218" "family_8"
"KIP" 0 "1" 2010 "bird_4317" "bird_4325" "family_7"
"KIP" 0 "2" 2010 "bird_4226" "bird_4227" "family_6"
"KIP" 0 "2" 2010 "bird_4313" "bird_4312" "family_5"
"KIP" 0 "2" 2010 "bird_4233" "bird_4234" "family_4"
"KIP" 0 "2" 2010 "bird_4248" "bird_4247" "family_3"
"KIP" 0 "2" 2010 "bird_4308" "bird_4327" "family_23"
"KIP" 0 "2" 2010 "bird_4264" "bird_4263" "family_2"
"KIP" NA "2" 2009 "bird_4049" "bird_4058" "family_1"
"KPT" 3 "3" 1996 "bird_2560" "bird_2561" "family_1289"
"KPT" 3 "3" 1996 "bird_2578" "bird_2579" "family_1301"
"KPT" 3 "3" 1996 "bird_2596" "bird_2595" "family_1290"
"KPT" 3 "3" 1996 "bird_2590" "bird_2591" "family_1291"
"KPT" 3 "3" 1996 "bird_2562" "bird_2559" "family_1292"
"KPT" 3 "3" 1996 "bird_2601" "bird_2602" "family_1293"
"KPT" 3 "3" 1996 "bird_2607" "bird_2606" "family_1294"
