"ring"	"ch"	"sex"	"age"
"DJ24997"	"010100"	"F"	"J"
"DJ24998"	"011100"	"M"	"J"
"DJ24998"	"011100"	"M"	"J"
"DJ24998"	"011100"	"M"	"J"
"DJ24998"	"011100"	"M"	"J"
"DJ24999"	"010100"	"M"	"J"
"DJ25000"	"010000"	"F"	"J"
"DJ25001"	"010000"	"M"	"J"
"DJ25002"	"010000"	"F"	"J"
"DJ25003"	"010000"	"F"	"J"
"DJ25004"	"010000"	"F"	"J"
"DJ25005"	"010000"	"M"	"J"
"DJ25007"	"010000"	"F"	"A"
"DJ25008"	"011110"	"M"	"A"
"DJ25021"	"011110"	"M"	"A"
"DJ25022"	"011110"	"F"	"A"
"DJ25024"	"010111"	"F"	"J"
"DJ25027"	"011110"	"M"	"J"
"DJ25027"	"011110"	"M"	"J"
"DJ25027"	"011110"	"M"	"J"
"DJ25030"	"010000"	"F"	"A"
"DJ25037"	"010000"	"F"	"A"
"DJ25038"	"010000"	"M"	"A"
"DJ25039"	"010100"	"F"	"A"
"DJ25039"	"010100"	"F"	"A"
"DJ25039"	"010100"	"F"	"A"
"DJ25040"	"011000"	"M"	"J"
"DJ25040"	"011000"	"M"	"J"
"DJ25040"	"011000"	"M"	"J"
"DJ25048"	"010100"	"F"	"A"
"DJ25049"	"011000"	"M"	"A"
"DJ25054"	"011100"	"M"	"A"
"DJ25055"	"011000"	"F"	"A"
"DJ25057"	"011100"	"M"	"J"
"DJ25057"	"011100"	"M"	"J"
"DJ25057"	"011100"	"M"	"J"
"DJ25065"	"010110"	"M"	"J"
"DJ25066"	"010000"	"M"	"A"
"DJ25067"	"010100"	"F"	"A"
"DJ25074"	"010000"	"F"	"A"
"DJ25075"	"011000"	"M"	"A"
"DJ25078"	"010000"	"F"	"A"
"DJ25080"	"011110"	"F"	"J"
"DJ25080"	"011110"	"F"	"J"
"DJ25080"	"011110"	"F"	"J"
"DJ25086"	"011100"	"F"	"A"
"DJ25087"	"010000"	"M"	"A"
"DJ25092"	"011000"	"M"	"A"
"DJ25112"	"011010"	"M"	"J"
"DJ25112"	"011010"	"M"	"J"
"DJ25114"	"011100"	"F"	"A"
"DJ25116"	"010010"	"M"	"A"
"DJ25118"	"011110"	"F"	"A"
"DJ25119"	"010000"	"M"	"A"
"DJ25120"	"011000"	"M"	"A"
"DJ25121"	"010000"	"F"	"A"
