"population" "no_chicks" "clutch_size" "ID" "year" "male" "female"
"KPT" 3 "3" "1996_A_6" "1996" "83665" "83666"
"KPT" 3 "3" "1996_A_12" "1996" "83765" "83761"
"KPT" 3 "3" "1996_A_14" "1996" "83751" "83752"
"KPT" 3 "3" "1996_A_19" "1996" "83617" "83613"
"KPT" 3 "3" "1996_A_27" "1996" "83778" "83779"
"KPT" 3 "3" "1996_A_41" "1996" "83796" "83795"
"KPT" 3 "3" "1996_A_48" "1996" "83665" "83342"
"KPT" 3 "3" "1996_A_50" "1996" "85511" "85515"
"KPT" 3 "3" "1996_A_54" "1996" "83884" "83881"
"KPT" 3 "3" "1996_A_55" "1996" "83920" "83921"
"KPT" 3 "3" "1996_A_57" "1996" "83901" "83900"
"KPT" 3 "3" "1996_A_59" "1996" "83896" "83894"
"KPT" 2 "3" "1996_A_62" "1996" NA NA
"KPT" 1 "3" "1996_A_63" "1996" NA NA
"KPT" 3 "3" "1996_A_66" "1996" "83765" "83761"
"KPT" 0 "3" "1996_B_1" "1996" "83551" "83552"
"KPT" 0 "3" "1996_B_12" "1996" NA "83328"
"KPT" 0 "3" "1996_B_31" "1996" "83331" "83329"
"KPT" 0 "3" "1996_B_39" "1996" "83561" "83560"
"KPT" 0 "3" "1996_B_50" "1996" "83335" "83334"
"KPT" 0 "3" "1996_B_52" "1996" "83562" "83336"
"KPT" 3 "3" "1996_B_60" "1996" "83606" "83607"
"KPT" 4 "3" "1996_B_70" "1996" NA NA
"KPT" 0 "3" "1996_B_80" "1996" "83577" "83576"
"KPT" 0 "3" "1996_B_83" "1996" "83591" "83329"
"KPT" 0 "3" "1996_B_88" "1996" "83579" "83580"
"KPT" 0 "3" "1996_B_96" "1996" "83586" "83587"
"KPT" 0 "3" "1996_B_97" "1996" "83551" NA
"KPT" 0 "3" "1996_B_102" "1996" "83679" "83590"
"KPT" 0 "3" "1996_B_119" "1996" "83595" "83594"
"KPT" 0 "3" "1996_B_132" "1996" "83801" "83802"
"KPT" 0 "1" "1996_B_137" "1996" "83331" "83552"
"KPT" 3 "3" "1996_B_138" "1996" "83551" "83813"
"KPT" 0 "3" "1996_B_141" "1996" "83882" NA
"KPT" 0 "3" "1996_B_144" "1996" "83562" "83816"
"KPT" 0 "3" "1996_B_145" "1996" "83803" "83804"
"KPT" 3 "3" "1996_B_147" "1996" "83926" "83815"
"KPT" 0 "3" "1996_B_160" "1996" "83817" "83818"
"KPT" 0 "3" "1996_B_170" "1996" "83823" "83821"
"KPT" 2 "2" "1996_B_176" "1996" "83820" "83334"
"KPT" 0 "2" "1996_B_177" "1996" "83606" "83846"
"KPT" 0 "3" "1996_B_180" "1996" "83577" NA
"KPT" 2 "3" "1996_B_183" "1996" "83803" "83843"
"KPT" 0 "3" "1996_B_187" "1996" "83832" "83831"
"KPT" 0 "3" "1996_B_196" "1996" "83839" "83818"
"KPT" 2 "3" "1996_B_213" "1996" NA "83644"
"KPT" 3 "3" "1996_B_214" "1996" NA NA
"KPT" 3 "3" "1996_B_217" "1996" NA NA
"KPT" 0 "3" "1996_B_218" "1996" "83346" "83347"
"KPT" 3 "3" "1996_B_222" "1996" NA NA
"KPT" 3 "3" "1996_B_223" "1996" "83856" NA
"KPT" 3 "3" "1996_B_225" "1996" "83774" "83775"
"KPT" 3 "3" "1996_B_226" "1996" "83652" "83653"
