year,site,nest,laying_date,hatching_date,parent1,parent2,parent3,chick1,chick2,chick3,species,comments
2014,Andavadoaka,-17,,,,,,FH72872,FH72873,,KIP,
2014,Andavadoaka,-16,,,,,,FH72870,FH72871,,KIP,
2014,Andavadoaka,-15,,,,,,FH72866,,,KIP,
2014,Andavadoaka,-14,,,,,,FH72849,,,KiP,
2014,Andavadoaka,-14,,,,,,FH72864,,,KIP,
2014,Andavadoaka,-14,,,,,,FH72797,FH72798,,WFP,
2014,Andavadoaka,-13,,,,,,FH72847,,,KiP,
2014,Andavadoaka,-13,,,,,,FH72849,,,KIP,
2014,Andavadoaka,-13,,,,,,FH72795,FH72796,,WFP,
2014,Andavadoaka,-12,,,,,,FH72847,,,KIP,
2014,Andavadoaka,-12,,,,,,FH72794,,,WFP,
2014,Andavadoaka,-11,,,,,,FH72845,,,KiP,
2014,Andavadoaka,-11,,,,,,FH72846,,,KIP,
